,Date,Open,High,Low,Close*,Adj Close**,Volume
52,"Feb 08, 2021",136.03,136.96,134.92,136.91,136.91,"71,297,200"
53,"Feb 05, 2021",137.35,137.42,135.86,136.76,136.76,"75,524,000"
54,"Feb 04, 2021",136.30,137.40,134.59,137.39,137.18,"84,183,100"
55,"Feb 03, 2021",135.76,135.77,133.61,133.94,133.74,"89,880,900"
56,"Feb 02, 2021",135.73,136.31,134.61,134.99,134.79,"83,305,400"
57,"Feb 01, 2021",133.75,135.38,130.93,134.14,133.94,"106,239,800"
58,"Jan 29, 2021",135.83,136.74,130.21,131.96,131.76,"177,180,600"
59,"Jan 28, 2021",139.52,141.99,136.70,137.09,136.89,"142,621,100"
60,"Jan 27, 2021",143.43,144.30,140.41,142.06,141.85,"140,843,800"
61,"Jan 26, 2021",143.60,144.30,141.37,143.16,142.95,"98,390,600"
62,"Jan 25, 2021",143.07,145.09,136.54,142.92,142.71,"157,611,700"
63,"Jan 22, 2021",136.28,139.85,135.02,139.07,138.86,"114,459,400"
64,"Jan 21, 2021",133.80,139.67,133.59,136.87,136.67,"120,529,500"
65,"Jan 20, 2021",128.66,132.49,128.55,132.03,131.83,"104,319,500"
66,"Jan 19, 2021",127.78,128.71,126.94,127.83,127.64,"90,757,300"
67,"Jan 15, 2021",128.78,130.22,127.00,127.14,126.95,"111,598,500"
68,"Jan 14, 2021",130.80,131.00,128.76,128.91,128.72,"90,221,800"
69,"Jan 13, 2021",128.76,131.45,128.49,130.89,130.69,"88,636,800"
70,"Jan 12, 2021",128.50,129.69,126.86,128.80,128.61,"91,951,100"
71,"Jan 11, 2021",129.19,130.17,128.50,128.98,128.79,"100,620,900"
72,"Jan 08, 2021",132.43,132.63,130.23,132.05,131.85,"105,158,200"
73,"Jan 07, 2021",128.36,131.63,127.86,130.92,130.72,"109,578,200"
74,"Jan 06, 2021",127.72,131.05,126.38,126.60,126.41,"155,088,000"
75,"Jan 05, 2021",128.89,131.74,128.43,131.01,130.81,"97,664,900"
76,"Jan 04, 2021",133.52,133.61,126.76,129.41,129.22,"143,301,900"
77,"Dec 31, 2020",134.08,134.74,131.72,132.69,132.49,"99,116,600"
78,"Dec 30, 2020",135.58,135.99,133.40,133.72,133.52,"96,452,100"
79,"Dec 29, 2020",138.05,138.79,134.34,134.87,134.67,"121,047,300"
80,"Dec 28, 2020",133.99,137.34,133.51,136.69,136.49,"124,486,200"
81,"Dec 24, 2020",131.32,133.46,131.10,131.97,131.77,"54,930,100"
82,"Dec 23, 2020",132.16,132.43,130.78,130.96,130.76,"88,223,700"
83,"Dec 22, 2020",131.61,134.41,129.65,131.88,131.68,"168,904,800"
84,"Dec 21, 2020",125.02,128.31,123.45,128.23,128.04,"121,251,600"
85,"Dec 18, 2020",128.96,129.10,126.12,126.66,126.47,"192,541,500"
86,"Dec 17, 2020",128.90,129.58,128.04,128.70,128.51,"94,359,800"
87,"Dec 16, 2020",127.41,128.37,126.56,127.81,127.62,"98,208,600"
88,"Dec 15, 2020",124.34,127.90,124.13,127.88,127.69,"157,572,300"
89,"Dec 14, 2020",122.60,123.35,121.54,121.78,121.60,"79,184,500"
90,"Dec 11, 2020",122.43,122.76,120.55,122.41,122.23,"86,939,800"
91,"Dec 10, 2020",120.50,123.87,120.15,123.24,123.06,"81,312,200"
92,"Dec 09, 2020",124.53,125.95,121.00,121.78,121.60,"115,089,200"
93,"Dec 08, 2020",124.37,124.98,123.09,124.38,124.19,"82,225,500"
94,"Dec 07, 2020",122.31,124.57,122.25,123.75,123.57,"86,712,000"
95,"Dec 04, 2020",122.60,122.86,121.52,122.25,122.07,"78,260,400"
96,"Dec 03, 2020",123.52,123.78,122.21,122.94,122.76,"78,967,600"
97,"Dec 02, 2020",122.02,123.37,120.89,123.08,122.90,"89,004,200"
98,"Dec 01, 2020",121.01,123.47,120.01,122.72,122.54,"128,166,800"
99,"Nov 30, 2020",116.97,120.97,116.81,119.05,118.87,"169,410,200"
100,"Nov 27, 2020",116.57,117.49,116.22,116.59,116.42,"46,691,300"
101,"Nov 25, 2020",115.55,116.75,115.17,116.03,115.86,"76,499,200"
102,"Nov 24, 2020",113.91,115.85,112.59,115.17,115.00,"113,874,200"
103,"Nov 23, 2020",117.18,117.62,113.75,113.85,113.68,"127,959,300"
104,"Nov 20, 2020",118.64,118.77,117.29,117.34,117.16,"73,604,300"
105,"Nov 19, 2020",117.59,119.06,116.81,118.64,118.46,"74,113,000"
106,"Nov 18, 2020",118.61,119.82,118.00,118.03,117.85,"76,322,100"
107,"Nov 17, 2020",119.55,120.67,118.96,119.39,119.21,"74,271,000"
108,"Nov 16, 2020",118.92,120.99,118.15,120.30,120.12,"91,183,000"
109,"Nov 13, 2020",119.44,119.67,117.87,119.26,119.08,"81,581,900"
110,"Nov 12, 2020",119.62,120.53,118.57,119.21,119.03,"103,162,300"
111,"Nov 11, 2020",117.19,119.63,116.44,119.49,119.31,"112,295,000"
112,"Nov 10, 2020",115.55,117.59,114.13,115.97,115.80,"138,023,400"
113,"Nov 09, 2020",120.50,121.99,116.05,116.32,116.15,"154,515,300"
114,"Nov 06, 2020",118.32,119.20,116.13,118.69,118.51,"114,457,900"
115,"Nov 05, 2020",117.95,119.62,116.87,119.03,118.65,"126,387,100"
116,"Nov 04, 2020",114.14,115.59,112.35,114.95,114.58,"138,235,500"
117,"Nov 03, 2020",109.66,111.49,108.73,110.44,110.09,"107,624,400"
118,"Nov 02, 2020",109.11,110.68,107.32,108.77,108.42,"122,866,900"
119,"Oct 30, 2020",111.06,111.99,107.72,108.86,108.51,"190,272,600"
120,"Oct 29, 2020",112.37,116.93,112.20,115.32,114.95,"146,129,200"
121,"Oct 28, 2020",115.05,115.43,111.10,111.20,110.84,"143,937,800"
122,"Oct 27, 2020",115.49,117.28,114.54,116.60,116.23,"92,276,800"
